Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,490,W.R. Berkley,"4,708.80",281.1
2009,491,Brunswick,"4,708.70",-788.1
2009,492,Nash-Finch,"4,703.70",36.2
2009,493,Leggett & Platt,"4,664.70",104.4
2009,494,Universal American,"4,659.20",95.1
2009,495,Broadcom,"4,658.10",214.8
2009,496,Brightpoint,"4,658.00",-342.1
2009,497,Consol Energy,"4,652.40",442.5
2009,498,Big Lots,"4,645.30",151.5
2009,499,Dollar Tree,"4,644.90",229.5
2009,500,Legg Mason,"4,634.10",267.6
2009,501,USG,"4,608.00",-463
2009,502,Genzyme,"4,605.00",421.1
2009,503,Robert Half International,"4,600.60",250.2
2009,504,Neiman Marcus,"4,600.50",142.8
2009,505,Lennar,"4,575.40","-1,109.10"
2009,506,Core-Mark Holding,"4,570.50",17.9
2009,507,Lexmark International,"4,528.40",240.2
2009,508,Chiquita Brands International,"4,524.10",-323.7
2009,509,Amerigroup,"4,516.00",-50.7
2009,510,Laboratory Corp. of America,"4,505.20",464.5
2009,511,Health Management Associates,"4,489.30",167.2
2009,512,Stanley Works,"4,487.00",313.3
2009,513,Flowserve,"4,473.50",442.4
2009,514,Washington Post,"4,461.60",65.7
2009,515,Wisconsin Energy,"4,431.00",359.1
2009,516,Casey's General Stores,"4,429.30",84.9
2009,517,Allergan,"4,403.40",578.6
2009,518,Levi Strauss,"4,400.90",229.3
2009,519,Las Vegas Sands,"4,389.90",-163.6
2009,520,St. Jude Medical,"4,363.30",384.3
2009,521,NewPage Holding,"4,356.00",-142
2009,522,Energizer Holdings,"4,331.00",329.3
2009,523,Fidelity National Financial,"4,329.10",-179
2009,524,Live Nation,"4,327.10",-231.8
2009,525,Mutual of Omaha Insurance,"4,312.00",-58.2
2009,526,Level 3 Communications,"4,301.00",-290
2009,527,American Financial Group,"4,292.70",195.8
2009,528,Wyndham Worldwide,"4,281.00","-1,074.00"
2009,529,CA,"4,277.00",500
2009,530,NII Holdings,"4,269.40",369.1
2009,531,Seaboard,"4,267.80",146.9
2009,532,Hanesbrands,"4,248.80",127.2
2009,533,Brinker International,"4,235.20",51.7
2009,534,RadioShack,"4,224.50",192.4
2009,535,M&T Bank Corp.,"4,216.60",555.9
2009,536,Nalco Holding,"4,212.40",-342.6
2009,537,Conseco,"4,194.40","-1,126.70"
2009,538,Kindred Healthcare,"4,194.00",36.3
2009,539,Alliant Techsystems,"4,171.70",222.3
2009,540,Adams Resources & Energy,"4,159.70",-5.6
2009,541,Dick's Sporting Goods,"4,130.10",-35.1
2009,542,Sonoco Products,"4,122.40",164.6
2009,543,Zimmer Holdings,"4,121.10",848.6
2009,544,Harman International Industries,"4,112.50",107.8
2009,545,Unified Grocers,"4,104.80",17.4
2009,546,Biogen Idec,"4,097.50",783.2
2009,547,Graphic Packaging Holding,"4,079.40",-99.7
2009,548,OGE Energy,"4,070.70",231.4
2009,549,Liz Claiborne,"4,061.80",-951.8
2009,550,Marshall & Ilsley Corp.,"4,025.80","-2,043.50"
2009,551,Pacific Life,"4,023.00",-289
2009,552,Hasbro,"4,021.50",306.8
2009,553,Airgas,"4,017.00",223.3
2009,554,CommScope,"4,016.60",-228.5
2009,555,Ruddick,"3,992.40",96.8
2009,556,H&R Block,"3,980.70",-308.6
2009,557,Harsco,"3,967.80",240.9
2009,558,Susser Holdings,"3,966.40",16.5
2009,559,Comerica,"3,944.00",213
2009,560,Corn Products International,"3,943.60",267.2
2009,561,Cintas,"3,937.90",335.4
2009,562,Discovery Communications,"3,927.00",317
2009,563,CF Industries Holdings,"3,921.10",684.6
2009,564,Noble Energy,"3,901.00","1,350.00"
2009,565,Solutia,"3,890.00",786
